n,mean_T,std_T
2.0,0.0029615615457156052,0.00015685448506991338
3.0,0.003925165712857311,7.126547632700714e-05
4.0,0.005338528865714969,4.600503284509988e-05
5.0,0.006823926784285764,4.387248254762476e-05
6.0,0.008562157439997203,3.1293775742170445e-05
7.0,0.01067853178428777,2.825110645478378e-05
8.0,0.013710157441424339,4.818060970230241e-05
9.0,0.018057116547136372,3.53682852945928e-05
10.0,0.026163178571472857,2.5358645008574743e-05
11.0,0.04251823391428583,0.00020280300732050687
12.0,0.0761640440285971,0.0003173960305894826
13.0,0.14677267318571205,0.0003626684274788087
14.0,0.30840547028544407,0.0017393286977095306
15.0,0.6106124342856803,0.005982384512172183
16.0,1.2777086665716655,0.007666362779475056
17.0,2.9271614522863922,0.015362439302024284
18.0,6.601009107143129,0.012171550195371068
19.0,14.49397704157153,0.21578158328303523
20.0,31.467802565428688,0.5831845230527403
