n,mean_T,std_T
2.0,0.001093582428571868,3.526650792532619e-05
3.0,0.001776794345142012,7.771454633419073e-05
4.0,0.002695870355710213,2.6711782955791298e-05
5.0,0.0045255462485718975,0.000177936289776219
6.0,0.009124675832858234,1.684565066335621e-05
7.0,0.02698698631424382,0.00028872722555514294
8.0,0.10066505239992693,0.0003446332961757603
9.0,0.418189345286789,0.0006568410746848661
10.0,1.7874948809996047,0.0027020468729434307
11.0,7.572290952572075,0.006626661638202023
12.0,45.33491647014203,0.03580205001327252
13.0,204.64228167857178,1.9239820272806138
