n,mean_T,std_T
2.0,0.0013254927977146248,1.4218026584734677e-05
3.0,0.0029112798199951483,6.212345405655106e-06
4.0,0.005317062617146542,9.004472417042858e-06
5.0,0.011315814465716747,2.4675143414599275e-05
6.0,0.03296314167143594,7.399148048480806e-05
7.0,0.13078626668575452,0.0002241341873829559
8.0,0.5966314641430343,0.0003654168643445057
9.0,2.8278345954271833,0.001196695372269342
10.0,13.395609059572703,0.004444072904945202
11.0,62.2110514464283,0.08823557749157011
12.0,395.49564899985853,2.480145082935581
13.0,1782.4112781188576,10.42392535558937
