n,mean_T,std_T
2.0,0.0007068490477140586,1.1833227425352629e-05
3.0,0.0011974546728571503,5.3078544378152205e-05
4.0,0.0018562743154273318,9.91085797499048e-05
5.0,0.0027670157157107106,7.740532118988837e-05
6.0,0.00556163261999505,0.00022092252094168914
7.0,0.014890929225714767,0.00010848015350078717
8.0,0.05390712740003697,0.00072230073745735
9.0,0.22209651157183025,0.002391994080374677
10.0,0.9393272261430476,0.009339900916588317
11.0,3.9978484522861044,0.04193430891024714
12.0,23.314860368857417,0.018790255034653692
13.0,104.59599345242896,0.810865566384051
