n,mean_T,std_T
2.0,0.0014384727558566998,8.022137826669466e-05
3.0,0.0025020072014324663,6.996628772524467e-05
4.0,0.00374648952570299,5.589567843213742e-05
5.0,0.006118562022862274,4.452603775763707e-05
6.0,0.013241492915715624,0.0005203876975985491
7.0,0.040112583928670835,0.0010346557511096196
8.0,0.1521035875142323,0.0023697435696443136
9.0,0.6415862561428055,0.02736190116136873
10.0,2.64304986299976,0.006302323536436293
11.0,11.476179137000145,0.20499430349018127
12.0,71.67665582157186,0.6294018623280004
13.0,305.42144039871346,1.213879568016976
