n,mean_T,std_T
2.0,0.0015265434344286664,0.00013944732709930273
3.0,0.0022193285128560094,0.0003477468883117936
4.0,0.0025869398828555342,8.520738159426212e-05
5.0,0.0031679026214312352,3.381665104989329e-05
6.0,0.0039802327999963645,9.308979827555268e-05
7.0,0.00516782815571787,0.00015131028196493533
8.0,0.007318350834284502,0.0003874858235015317
9.0,0.010278089939999648,0.00047117039165705713
10.0,0.01628474410714261,7.423521770372013e-05
11.0,0.029794086299937458,0.00012426176624465217
12.0,0.05978745178573652,0.0008975277446904336
13.0,0.12228886784284573,0.0006369202991673833
14.0,0.27025306542912275,0.0032005959704339906
15.0,0.56222593442856,0.010020930640441543
16.0,1.1693764405712759,0.0050065953406338
17.0,2.700360006142936,0.025718607949169234
18.0,6.107297482142842,0.029971512012737404
19.0,13.44465927971422,0.07249533229329856
20.0,28.962953779857344,0.09194197268658218
