n,mean_T,std_T
2.0,0.0010225600952857162,2.2017833128708498e-05
3.0,0.002155594584285723,9.501253963447393e-06
4.0,0.003820516727142831,1.7163755805315392e-05
5.0,0.007956827798571412,2.2766789591974854e-05
6.0,0.022609197614286,5.3774356575028134e-05
7.0,0.08861448869999923,0.0001417205068410617
8.0,0.3999479877142887,0.0005181177408095932
9.0,1.9193477978571423,0.011221577094283201
10.0,9.096208261857148,0.10150791637044616
11.0,41.812936261714285,0.10580496718926613
12.0,261.2352001964286,1.877033480867952
13.0,1219.0594610061432,5.142837018721153
