,n,N_CA
0,2,376.24919588578985
1,3,1547.2012793926476
2,4,7241.330637858416
3,5,28018.630828530328
4,6,84724.52670753389
5,7,209736.60811126154
6,8,448263.53005885053
7,9,821394.4027147954
8,10,1545646.8326510896
9,15,17855993.50486244
10,20,151181100.14563358
11,30,7565940913.23562
12,40,298805641423.63715
13,50,10371723096372.422
14,60,331783990747065.7
15,70,1.003208090713286e+16
16,80,2.910830655882552e+17
17,90,8.183969556064659e+18
18,100,2.2445072182772725e+20
