,n,N_spread_noisy
0,2,2393.8865302321174
1,3,8032.160832297199
2,4,34185.8356808898
3,5,127278.82414390575
4,6,355219.7490105622
5,7,859492.9419569739
6,8,1816163.455430649
7,9,3306479.7491630204
8,10,6205575.581911458
9,15,66535837.20072992
10,20,527714591.5548557
11,30,23175255798.973255
12,40,803175354115.8374
13,50,24464282548091.93
14,60,686747341286988.6
15,70,1.8221854555885284e+16
16,80,4.63957799146222e+17
17,90,1.1446837941618213e+19
18,100,2.7548789797248877e+20
